web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_019,WoL,125,264,-36.45,148.266667,"Snowy Mountains, Australia","Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
M_PL_061_01,WoL,17,17,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_02,WoL,22,27,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_03,WoL,20,24,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_04,WoL,22,29,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_05,WoL,34,51,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_06,WoL,35,58,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_07,WoL,32,62,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_08,WoL,25,35,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_09,WoL,16,15,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_10,WoL,19,20,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_11,WoL,18,17,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_12,WoL,19,24,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_13,WoL,26,39,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_14,WoL,17,18,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_15,WoL,24,33,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_16,WoL,27,41,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_17,WoL,22,19,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_18,WoL,29,35,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_19,WoL,32,44,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_20,WoL,25,25,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_21,WoL,29,43,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_22,WoL,28,28,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_23,WoL,36,45,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
