web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_060_13,WoL,38,48,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_14,WoL,48,99,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_15,WoL,51,131,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_16,WoL,56,114,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_17,WoL,52,100,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_18,WoL,48,75,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_19,WoL,31,41,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_20,WoL,30,37,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_21,WoL,28,32,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_22,WoL,44,64,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_23,WoL,39,57,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_060_24,WoL,38,46,-20.7,57.733333,"Black River Gorges National Park, Mauritius","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452."
M_PL_054,WoL,431,773,35.033333,135.783333,"Kyoto City, Japan","Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contribution from the Biological Laboratory, Kyoto University, 27: 465-521."
M_PL_055,WoL,259,431,35.65,136.083333,"Nakaikemi marsh, Fukui Prefecture, Japan","Kato & Miura (1996). Flowering phenology and anthophilous insect community at a threatened natural lowland marsh at Nakaikemi in Tsuruga, Japan. Kyoto University, Vol. 29: 1-48"
