plant	web	Latitude	lat.x	lat.sc	symmetry	PC1	PC2	PC3	PC4	pc1.sc	pc2.sc	pc3.sc	pc4.sc	n.poll	n.shared	rel.mn.n.shared
Aphloia theiformis	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	11.4696124974864	-21.3206186332092	-0.491513178490337	6.69431954812188	0.367761557219325	-0.912791976762572	-0.0357210204362868	0.675706877273124	14	12	0.335714285714286
Psiadia terebinthina	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-33.6618214183517	18.2488235359815	-25.9822516295975	-1.72081995126702	-1.07933235463403	0.781280318154287	-1.88827600572636	-0.173695006230491	11	10	0.345454545454545
Erythroxylum macrocarpum	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.95860240237	-30.5764550100579	-1.1950821888801	-1.99609840190775	0.287248550962503	-1.30905877034683	-0.0868533279680266	-0.201480883633851	9	9	0.377777777777778
Toddalia asiatica	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.58710479962313	-28.0206985523696	-0.877337446397306	12.9843011402028	0.307400846463379	-1.19964008839999	-0.0637610347468923	1.31060095263629	10	8	0.31
Molinaea alternifolia	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.58710801945703	-28.0263916883063	-0.87779664868431	12.996685375553	0.307400949704106	-1.19988382658109	-0.0637944075535561	1.31185098453808	5	3	0.26
Claoxylon linostachys	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.82413123972565	-30.9676621306344	-1.21794254702896	-2.09377327556661	0.282936868751267	-1.32580738008738	-0.0885147184583577	-0.211339926572217	6	5	0.383333333333333
Antirhea borbonica	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.0942485136209	13.0774118388036	19.7742371930343	-2.05131853910129	-0.868749753074945	0.559878529260248	1.43710476503174	-0.207054657965569	2	2	0.6
Roussea simplex	M_PL_060_01	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.4693874356541	12.4672916956943	-10.7371970025889	0.424003234238857	-0.752522238411399	0.533757675026499	-0.780332349858766	0.0427977629842337	1	1	0.2
Toddalia asiatica	M_PL_060_02	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.58710479962313	-28.0206985523696	-0.877337446397306	12.9843011402028	0.307400846463379	-1.19964008839999	-0.0637610347468923	1.31060095263629	15	13	0.296969696969697
Aphloia theiformis	M_PL_060_02	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	11.4696124974864	-21.3206186332092	-0.491513178490337	6.69431954812188	0.367761557219325	-0.912791976762572	-0.0357210204362868	0.675706877273124	20	16	0.259090909090909
Geniostoma borbonicum	M_PL_060_02	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-25.8598367234773	12.5490602640656	18.4583164334817	-1.71623262457976	-0.829169583972231	0.537258403332967	1.34146942013847	-0.173231973629702	15	12	0.315151515151515
Sideroxylon cinereum	M_PL_060_02	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-9.72240751683688	3.84605087733165	3.28198687144398	5.47222501015629	-0.31173919163323	0.164659592830987	0.238520400341169	0.552351892790355	11	10	0.322314049586777
Roussea simplex	M_PL_060_02	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.4693874356541	12.4672916956943	-10.7371970025889	0.424003234238857	-0.752522238411399	0.533757675026499	-0.780332349858766	0.0427977629842337	10	9	0.290909090909091
