web,plant,symmetry,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_005,Delphinium scopulorum,actinomorphic,11,11,1.47368421052632,1
M_PL_005,Jamesia americana,actinomorphic,11,10,1.87368421052632,1
M_PL_005,Mertensia pratensis,actinomorphic,11,7,0.452631578947368,0
M_PL_005,Petalostemon purpureus,zygomorphic,11,11,1.77894736842105,1
M_PL_005,Castilleia miniata,zygomorphic,10,9,1.21052631578947,1
M_PL_005,Sedum stenopetalum,actinomorphic,10,7,0.894736842105263,1
M_PL_005,Calochortus gunnisoni,actinomorphic,9,7,1.13684210526316,1
M_PL_005,Capnoides aureum,zygomorphic,9,7,0.926315789473684,1
M_PL_005,Rydbergia grandilfora,actinomorphic,9,7,1.06315789473684,1
M_PL_005,Achillea millefolium,actinomorphic,7,3,0.0736842105263158,0
M_PL_005,Aconitum columbianum,actinomorphic,7,7,1.61052631578947,1
M_PL_005,Asclepias halli,actinomorphic,7,3,0.4,0
M_PL_005,Campanula rotundifolia,actinomorphic,7,7,1.12631578947368,1
M_PL_005,Heracleum lanatum,actinomorphic,7,5,0.389473684210526,0
M_PL_005,Penstemon halli,zygomorphic,7,7,0.642105263157895,0
M_PL_005,Penstemon unilateralis,zygomorphic,7,7,0.842105263157895,0
M_PL_005,Petalostemon candidus,actinomorphic,7,6,1.22105263157895,1
M_PL_005,Dasyphora fruticosa,actinomorphic,6,6,0.4,0
M_PL_005,Prunus virginiana,actinomorphic,6,6,0.305263157894737,0
M_PL_005,Tradescantia virginiana,actinomorphic,6,6,0.463157894736842,0
M_PL_005,Gentiana parryi,actinomorphic,5,5,0.557894736842105,0
M_PL_005,Ibidium strictum,zygomorphic,5,4,0.410526315789474,0
M_PL_005,Iris missouriensis,actinomorphic,5,3,0.126315789473684,0
M_PL_005,Linaria vulgaris,zygomorphic,5,4,0.568421052631579,0
M_PL_005,Thermopsis montana,zygomorphic,5,5,0.736842105263158,0
M_PL_005,Apocynum androsaemifolium,actinomorphic,4,4,0.452631578947368,0
M_PL_005,Aquilegia coerulea,actinomorphic,4,4,0.831578947368421,1
M_PL_005,Dodecatheon meadia,actinomorphic,4,4,0.852631578947368,1
M_PL_005,Mentzelia multiflora,actinomorphic,4,4,1.03157894736842,1
M_PL_005,Potentilla arguta,actinomorphic,4,4,0.505263157894737,0
M_PL_005,Potentilla gracilis,actinomorphic,4,4,0.421052631578947,0
M_PL_005,Taraxacum officinale,actinomorphic,4,4,0.305263157894737,0
M_PL_005,Allium recurvatum,actinomorphic,3,3,0.757894736842105,1
M_PL_005,Asclepias speciosa,actinomorphic,3,2,0.294736842105263,0
M_PL_005,Chrysopsis villosa,actinomorphic,3,3,0.673684210526316,0
M_PL_005,Drymocallis fissa,actinomorphic,3,3,0.473684210526316,0
M_PL_005,Fragaria vesca,actinomorphic,3,3,0.431578947368421,0
M_PL_005,Helianthus petiolaris,actinomorphic,3,3,0.357894736842105,0
M_PL_005,Onagra biennis,actinomorphic,3,3,0.421052631578947,0
M_PL_005,Pachylophus caespitosus,actinomorphic,3,1,0.0105263157894737,0
M_PL_005,Polygonum bistorta,actinomorphic,3,2,0.0631578947368421,0
M_PL_005,Sieversia ciliata,actinomorphic,3,3,0.810526315789474,1
M_PL_005,Thalictrum fendleri,actinomorphic,3,2,0.326315789473684,0
M_PL_005,Arctostaphylus uva-ursi,actinomorphic,2,2,0.6,0
M_PL_005,Aster foliaceus,actinomorphic,2,2,0.536842105263158,0
M_PL_005,Caltha leptosepala,actinomorphic,2,1,0.0421052631578947,0
M_PL_005,Cleome serrulata,actinomorphic,2,1,0.378947368421053,0
M_PL_005,Elephantella groenlandica,zygomorphic,2,2,0.273684210526316,0
M_PL_005,Erigeron uniflorus,actinomorphic,2,2,0.631578947368421,0
M_PL_005,Galium boreale,actinomorphic,2,1,0.0210526315789474,0
M_PL_005,Gilia aggregata,actinomorphic,2,2,0.263157894736842,0
M_PL_005,Malvastrum coccineum,actinomorphic,2,2,0.0736842105263158,0
M_PL_005,Pedicularis parryi,zygomorphic,2,2,0.378947368421053,0
M_PL_005,Pedicularis racemosa,zygomorphic,2,2,0.705263157894737,1
M_PL_005,Physaria didymocarpa,actinomorphic,2,2,0.115789473684211,0
M_PL_005,Trifolium dasyphyllum,zygomorphic,2,2,0.378947368421053,0
M_PL_005,Valeriana edulis,actinomorphic,2,2,0.0736842105263158,0
M_PL_005,Aquilegia brevistyla,actinomorphic,1,1,0.305263157894737,0
M_PL_005,Aragalus lamberti,actinomorphic,1,1,0.105263157894737,0
M_PL_005,Clementsia rhodantha,actinomorphic,1,0,0,0
M_PL_005,Draba aurea,actinomorphic,1,1,0.0210526315789474,0
M_PL_005,Erysimum asperum,actinomorphic,1,1,0.326315789473684,0
M_PL_005,Geum rivale,actinomorphic,1,0,0,0
M_PL_005,Lappula floribunda,actinomorphic,1,1,0.0631578947368421,0
M_PL_005,Lathyrus ornatus,zygomorphic,1,1,0.378947368421053,0
M_PL_005,Lithospermum canescens,actinomorphic,1,1,0.105263157894737,0
M_PL_005,Oreochrysum parryi,actinomorphic,1,1,0.0210526315789474,0
M_PL_005,Phacelia heterophylla,actinomorphic,1,1,0.0210526315789474,0
M_PL_005,Prunus pennsylvanica,actinomorphic,1,1,0.0631578947368421,0
M_PL_005,Sambucus racemosa,actinomorphic,1,0,0,0
M_PL_005,Scutellaria resinosa,zygomorphic,1,1,0.115789473684211,0
M_PL_005,Sieversia turbinata,actinomorphic,1,0,0,0
M_PL_005,Silene acaulis,actinomorphic,1,0,0,0
M_PL_005,Silene halli,actinomorphic,1,1,0.0210526315789474,0
M_PL_006,Leucanthemum vulgare,actinomorphic,49,30,5.0625,3.5
M_PL_006,Lotus corniculatus,zygomorphic,24,20,4,3
M_PL_006,Lathyrus pratensis,zygomorphic,6,6,2.1875,1.5
M_PL_006,Vicia cracca,zygomorphic,9,9,3.125,3
M_PL_006,Hypochoeris radicata,actinomorphic,15,14,3.25,2
M_PL_006,Ranunculus acris,actinomorphic,12,9,2.25,1
M_PL_006,Trifolium dubium,zygomorphic,6,5,1.9375,1.5
M_PL_006,Prunella vulgaris,zygomorphic,4,4,1.6875,1.5
M_PL_006,Achillea millefolium,actinomorphic,6,6,1.6875,1
M_PL_006,Centaurea nigra,actinomorphic,3,3,1,1
M_PL_006,Trifolium repens,zygomorphic,1,1,0.5625,1
M_PL_006,Vicia sativa,zygomorphic,4,4,1.4375,1
M_PL_006,Lychnis flos-cuculi,actinomorphic,1,1,0.5625,1
M_PL_006,Plantago lanceolata,actinomorphic,2,1,0.125,0
M_PL_006,Trifolium pratense,zygomorphic,2,2,0.6875,1
M_PL_006,Cirsium arvense,actinomorphic,1,1,0.375,0
M_PL_006,Taraxacum officinale,actinomorphic,1,1,0.4375,0
M_PL_007,Centaurea nigra,actinomorphic,15,13,2.66666666666667,2
M_PL_007,Leucanthemum vulgare,actinomorphic,21,14,2.53333333333333,2
M_PL_007,Cirsium palustre,actinomorphic,4,4,1.26666666666667,1
M_PL_007,Ranunculus acris,actinomorphic,11,7,1.66666666666667,1
M_PL_007,Cirsium arvense,actinomorphic,5,4,1,1
M_PL_007,Filipendula ulmaria,actinomorphic,7,7,1.73333333333333,1
M_PL_007,Galium verum,actinomorphic,2,2,0.533333333333333,0
M_PL_007,Hypochoeris radicata,actinomorphic,4,3,1.06666666666667,1
M_PL_007,Primula veris,actinomorphic,4,2,0.733333333333333,1
M_PL_007,Lotus corniculatus,zygomorphic,2,2,1,1
M_PL_007,Lathyrus pratensis,zygomorphic,1,1,0.4,0
M_PL_007,Orchis morio,zygomorphic,3,3,0.933333333333333,1
M_PL_007,Taraxacum officinale,actinomorphic,3,2,0.4,0
M_PL_007,Trifolium repens,zygomorphic,1,1,0.4,0
M_PL_007,Cerastium fontanum,actinomorphic,1,0,0,0
M_PL_007,Trifolium dubium,zygomorphic,1,1,0.6,1
M_PL_008,Echium wildpretii,actinomorphic,18,15,4.5,4.5
M_PL_008,Pimpinella cumbrae,actinomorphic,14,11,3.6,4
M_PL_008,Pterocephalus lasiospermus,actinomorphic,14,14,4,3
M_PL_008,Mentha longifolia,zygomorphic,12,9,2.5,2.5
M_PL_008,Erysimum scoparium,actinomorphic,10,10,3.4,2.5
M_PL_008,Spartocytisus supranubius,zygomorphic,9,9,3.2,3
M_PL_008,Tolpis webbii,actinomorphic,8,8,2.9,2.5
M_PL_008,Argyranthemum teneriffae,actinomorphic,7,6,1.7,1.5
M_PL_008,Scrophularia glabrata,zygomorphic,7,6,1.9,2
M_PL_008,Nepeta teydea,zygomorphic,5,4,1.8,2
M_PL_008,Adenocarpus viscosus,zygomorphic,2,2,0.7,0.5
M_PL_009,Dryas octopetala,actinomorphic,28,19,3.08695652173913,3
M_PL_009,Diapensia lapponica,actinomorphic,25,14,1.91304347826087,1
M_PL_009,Saxifraga aizoides,actinomorphic,25,12,1.65217391304348,1
M_PL_009,Potentilla crantzii,actinomorphic,24,17,3.56521739130435,3
M_PL_009,Silene acaulis,actinomorphic,15,10,1.95652173913043,1
M_PL_009,Cerastium alpinum,actinomorphic,14,10,2.26086956521739,2
M_PL_009,Parnassia palustris,actinomorphic,13,7,1.1304347826087,0
M_PL_009,Polygonum viviparum,actinomorphic,13,12,2.43478260869565,2
M_PL_009,Salix lanata,actinomorphic,9,5,0.695652173913043,1
M_PL_009,Salix reticulata,actinomorphic,8,8,1.65217391304348,2
M_PL_009,Saxifraga oppositifolia,actinomorphic,8,5,1.26086956521739,1
M_PL_009,Trollius europaeus,actinomorphic,8,4,0.91304347826087,1
M_PL_009,Viola biflora,zygomorphic,8,6,1.52173913043478,1
M_PL_009,Pinguicula alpina,zygomorphic,6,5,1.73913043478261,1
M_PL_009,Rhodiola rosea,actinomorphic,6,6,0.652173913043478,0
M_PL_009,Rhododendron lapponicum,actinomorphic,5,5,0.869565217391304,1
M_PL_009,Taraxacum officinale,actinomorphic,5,2,0.391304347826087,0
M_PL_009,Antennaria alpina,actinomorphic,4,4,0.91304347826087,1
M_PL_009,Arabis alpina,actinomorphic,4,3,0.826086956521739,1
M_PL_009,Astragalus alpinus,zygomorphic,4,3,0.391304347826087,0
M_PL_009,Cassiope tetragona,actinomorphic,4,3,0.478260869565217,0
M_PL_009,Salix polaris,actinomorphic,3,3,0.565217391304348,0
M_PL_009,Cassiope hypnoides,actinomorphic,2,2,0.478260869565217,0
M_PL_009,Bartsia alpina,zygomorphic,1,1,0.0434782608695652,0
M_PL_010,Dryas octopetala,actinomorphic,32,32,9.66666666666667,9
M_PL_010,Saxifraga oppositifolia,actinomorphic,29,28,8.2,8.5
M_PL_010,Salix arctica,actinomorphic,28,27,8.73333333333333,8
M_PL_010,Potentilla rubricaulis,actinomorphic,26,26,8.3,7.5
M_PL_010,Saxifraga caespitosa,actinomorphic,25,23,6.23333333333333,7
M_PL_010,Polygonum viviparum,actinomorphic,23,23,6.56666666666667,7
M_PL_010,Silene acaulis,actinomorphic,23,22,6.63333333333333,6.5
