web,plant,tip_name,symmetry,PC1,PC2,PC3,PC4,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_015,Thymus capitatus,Thymus_capitatus,zygomorphic,-31.0038892470738,15.0785686271867,26.6156500947939,-3.98408737583448,124,106,6.33076923076923,4
M_PL_015,Chrysanthemum coronarium,Chrysanthemum_coronarium,actinomorphic,-33.5728738911837,18.1983492754485,-25.8491182606365,-1.70209808338471,69,60,5.45384615384615,4
M_PL_015,Chamomilla recutita,Chamomilla_recutita,actinomorphic,NA,NA,NA,NA,63,51,4.11538461538461,3
M_PL_015,Hypochoeris achyrophorus,Hypochoeris_achyrophorus,actinomorphic,NA,NA,NA,NA,63,60,6.15384615384615,5
M_PL_015,Thapsia garganica,Thapsia_garganica,actinomorphic,-24.4657374992275,12.4400229932691,-8.35107561605511,0.738083816470735,62,46,3.21538461538462,2
M_PL_015,Sisymbrium orientale,Sisymbrium_orientale,actinomorphic,8.91245915476809,-31.7300788767172,-1.13299306415027,18.4680699249831,58,55,5.71538461538462,5
M_PL_015,Calendula arvensis,Calendula_arvensis,actinomorphic,-33.550180219356,18.1854935767645,-25.815272376539,-1.6973339657374,55,52,5.68461538461538,5
M_PL_015,Echium angustifolium,Echium_angustifolium,actinomorphic,-24.857855678339,12.1049202226506,17.3266847269496,-1.45397781391505,55,46,4.27692307692308,3
M_PL_015,Asphodelus aestivus,Asphodelus_aestivus,actinomorphic,69.9418760951152,34.1249509491817,-0.769144769667302,-8.16127295554446,54,50,5.09230769230769,4
M_PL_015,Cardaria draba,Cardaria_draba,actinomorphic,NA,NA,NA,NA,53,40,3.02307692307692,2
M_PL_015,Scandix australis,Scandix_australis,actinomorphic,-24.4680493609464,12.4410146414666,-8.35243881982927,0.737880988798397,51,47,4.73846153846154,4
M_PL_015,Euphorbia acanthothamnos,Euphorbia_acanthothamnos,actinomorphic,8.62518114270262,-31.6471608315989,-1.26252683505391,-2.2835327748794,50,37,3.02307692307692,2
M_PL_015,Hypericum triquetrifolium,Hypericum_triquetrifolium,actinomorphic,8.5526806821916,-31.9883142581394,-1.28881878276535,-2.39520302621508,50,45,4.02307692307692,2
M_PL_015,Heliotropium hirsutissimum,Heliotropium_hirsutissimum,actinomorphic,-24.6350113211598,12.0136529011692,17.1131045025697,-1.39754242399447,49,49,4.20769230769231,3
M_PL_015,Heliotropium dolosum,Heliotropium_dolosum,actinomorphic,-24.6350113211598,12.0136529011692,17.1131045025697,-1.39754242399447,48,47,4,2
M_PL_015,Thymelaea hirsuta,Thymelaea_hirsuta,actinomorphic,9.18046950388171,-30.6256619160905,-1.06468496584297,17.206845865633,48,42,3.61538461538462,2.5
M_PL_015,Cistus parviflorus,Cistus_parviflorus,actinomorphic,9.14158542389806,-30.7954907551658,-1.07547466958323,17.4142070831302,47,45,4.58461538461538,3
M_PL_015,Centaurea orphanidea,Centaurea_orphanidea,actinomorphic,-32.8780117055359,17.803604615224,-24.8064527192164,-1.555559985975,45,40,3.5,2
