web,connectance,web.asymmetry,links.per.species,nestedness,n.aff,n.hosts,host.sharing,aff.sharing,modularity,z.est,zstar,zstarLO,zstarHI
M_PL_041,0.108777194298575,0.162162162162162,1.95945945945946,10.4681337473129,43,31,0.712070874861573,0.78494623655914,0.350225925445557,0.490099645046156,0.493959891615242,0.408227680584816,0.579692102645668
M_PL_042,0.347222222222222,-0.333333333333333,1.38888888888889,14.5265253646834,6,12,1.4,1.21212121212121,0.331200003623962,0.411648296086427,NA,NA,NA
M_PL_043,0.108885017421603,0.490909090909091,2.27272727272727,11.938621952816,82,28,0.472749171936164,1.61111111111111,0.289360016584396,0.544899049257764,0.541885527495161,0.465740148854242,0.618030906136081
M_PL_044,0.0167935512763099,0.694019471488178,1.56467315716273,1.11700486167161,609,110,0.0871953590873737,0.313761467889908,0.570934057235718,0.755403257388701,0.783058532540844,0.773891798269479,0.79222526681221
M_PL_045,0.142533936651584,0.209302325581395,1.46511627906977,10.9295254026525,26,17,0.578461538461538,0.742647058823529,0.44860166311264,0.608366134133466,0.507257100979217,-2.29722156834036,3.31173577029879
M_PL_046,0.394886363636364,0.466666666666667,4.63333333333333,20.885638770463,44,16,2.85517970401691,9.51666666666667,0,0.266978615204334,NA,NA,NA
M_PL_047,0.120260328239955,0.814634146341463,2.07317073170732,7.63851951770874,186,19,0.532984597500726,4.27485380116959,0.287454664707184,0.634199404260467,NA,NA,NA
M_PL_048,0.094774011299435,0.774436090225564,2.52255639097744,6.02654993077615,236,30,0.537216011539849,3.73103448275862,0.208004146814346,0.571222020437788,0.580128312143841,0.469084046803587,0.691172577484095
M_PL_049,0.0708708708708709,0.717557251908397,2.25190839694656,5.11053107651035,225,37,0.339206349206349,2.68768768768769,0.383381217718124,0.633369258199504,0.67164737883013,0.646623354654284,0.696671403005976
M_PL_050,0.175510204081633,0.428571428571429,1.75510204081633,12.1344216121258,35,14,0.621848739495798,1.3956043956044,0.426243901252747,0.594736927139138,0.546328130226989,0.108663857875877,0.983992402578102
M_PL_051,0.13015873015873,0.730769230769231,1.57692307692308,10.6546324605565,90,14,0.517852684144819,1.84615384615385,0.450178474187851,0.689602376912447,NA,NA,NA
